Model,Accuracy,F1 Score
SVM,0.6111111111111112,0.2528735632183908
Logistic Regression,0.5555555555555556,0.35309617918313574
Random Forest,0.5,0.2874074074074074
XGBoost,0.5,0.2874074074074074
