Model,Accuracy,F1 Score (Macro)
XGBoost,0.47058823529411764,0.325
SVM,0.47058823529411764,0.29261363636363635
Random Forest,0.4117647058823529,0.2785714285714286
Logistic Regression,0.4117647058823529,0.2777777777777778
